"id","time","attend","age2000","byear"
7335,2009,6,18.3333333333333,1982
7335,2010,6,18.3333333333333,1982
7336,2000,6,18,1983
7336,2001,5,18,1983
7336,2002,6,18,1983
7336,2003,6,18,1983
7336,2004,5,18,1983
7336,2005,5,18,1983
7336,2006,3,18,1983
7336,2007,5,18,1983
7336,2008,5,18,1983
7336,2009,4,18,1983
7336,2010,5,18,1983
7338,2000,2,18.75,1982
7338,2001,3,18.75,1982
7338,2002,1,18.75,1982
7338,2003,3,18.75,1982
7338,2004,6,18.75,1982
7338,2005,6,18.75,1982
7338,2006,6,18.75,1982
7338,2007,6,18.75,1982
7338,2008,6,18.75,1982
7338,2009,6,18.75,1982
7338,2010,6,18.75,1982
7340,2000,2,19.3333333333333,1981
7340,2001,2,19.3333333333333,1981
7340,2002,6,19.3333333333333,1981
7340,2003,5,19.3333333333333,1981
7340,2004,3,19.3333333333333,1981
7340,2005,2,19.3333333333333,1981
7340,2006,3,19.3333333333333,1981
7340,2007,3,19.3333333333333,1981
7340,2008,5,19.3333333333333,1981
7340,2009,2,19.3333333333333,1981
7340,2010,2,19.3333333333333,1981
7345,2000,1,18.6666666666667,1982
7345,2001,1,18.6666666666667,1982
7345,2002,3,18.6666666666667,1982
7345,2003,1,18.6666666666667,1982
7345,2004,1,18.6666666666667,1982
7345,2005,1,18.6666666666667,1982
7345,2006,1,18.6666666666667,1982
7345,2007,1,18.6666666666667,1982
7345,2008,1,18.6666666666667,1982
7345,2009,2,18.6666666666667,1982
7345,2010,1,18.6666666666667,1982
7348,2000,4,18.8333333333333,1982
7348,2001,3,18.8333333333333,1982
7348,2002,3,18.8333333333333,1982
7348,2003,1,18.8333333333333,1982
7348,2004,1,18.8333333333333,1982
7348,2005,2,18.8333333333333,1982
7348,2006,1,18.8333333333333,1982
7348,2007,2,18.8333333333333,1982
7348,2008,1,18.8333333333333,1982
7348,2009,1,18.8333333333333,1982
7348,2010,1,18.8333333333333,1982
7349,2000,7,20.5,1980
7349,2001,8,20.5,1980
